temp_pass_rc,passreduction_th_rc_plan,passdiff_width_rc_plan,strength_yp,th_pass_plan,width_pass_rc,rollforce_plan,rollgap_plan,mill_modulus,dna_set,rollforce_rm,th_pass_rc
1091.0,-14.65,1.1,31.6,115.248,2222.8,2481.0,115.72,658.4,2.521,2422.4,115.078
1085.0,-13.069,1.1,31.8,102.19,2223.9,2365.2,102.64,658.5,2.521,2316.1,102.009
1080.0,-11.446,0.9,32.0,90.58,2224.8,2241.4,91.04,658.6,2.521,2271.0,90.563
1073.0,-10.164,0.9,32.2,80.56,2225.7,2191.0,80.94,658.6,2.521,2145.4,80.399
871.0,-6.484,0.4,32.4,74.61,2226.1,2874.4,73.66,658.7,2.521,2415.5,73.915
868.0,-5.303,0.4,32.6,68.595,2226.5,2901.5,67.53,658.7,2.521,2701.4,68.612
865.0,-4.947,0.4,32.8,63.663,2226.9,2815.7,62.66,658.7,2.521,2854.1,63.665
861.0,-4.642,0.4,33.0,59.031,2227.3,2827.3,57.95,658.8,2.521,2846.8,59.023
858.0,-4.336,0.3,33.2,54.685,2227.6,2834.0,53.54,658.8,2.521,2859.4,54.687
853.0,-4.044,0.3,33.4,50.644,2227.9,2847.4,49.38,658.8,2.471,2859.6,50.643
849.0,-3.739,0.3,33.6,46.902,2228.2,2834.3,45.58,658.8,2.441,2850.6,46.904
842.0,-3.448,0.2,33.8,43.452,2228.4,2821.2,42.08,658.8,2.441,2807.6,43.456
837.0,-3.089,0.3,34.0,40.28,2228.7,2800.0,38.87,658.8,2.381,2731.5,40.367
1114.0,-18.794,0.0,34.4,282.569,2213.1,2446.0,285.69,657.9,2.521,2638.2,282.769
1112.0,-18.503,1.4,34.6,263.799,2214.5,2459.9,266.6,657.9,2.521,2856.8,264.266
1109.0,-23.826,0.0,34.8,240.646,2214.5,3145.8,242.05,658.0,2.521,3046.4,240.44
1107.0,-23.039,1.6,35.0,217.713,2216.1,3126.2,218.79,658.0,2.521,3022.6,217.401
1105.0,-22.095,0.0,35.2,195.746,2216.1,3104.4,196.52,658.1,2.521,2832.2,195.306
1103.0,-21.104,1.5,35.4,174.646,2217.6,3012.1,175.23,658.1,2.521,2788.0,174.202
1099.0,-19.777,0.0,35.6,154.899,2217.6,2974.2,155.24,658.2,2.521,2675.4,154.425
1097.0,-18.227,1.4,35.8,136.718,2219.0,2929.4,136.85,658.2,2.521,2644.7,136.198
1094.0,-16.688,1.3,36.0,119.982,2220.3,2810.0,120.03,658.3,2.521,2521.7,119.51
860.0,-5.011,0.4,37.4,56.208,2225.1,3040.7,54.6,658.6,2.351,3059.3,56.214
854.0,-4.62,0.3,37.6,51.586,2225.4,3067.2,49.85,658.6,2.321,3077.2,51.594
849.0,-4.199,0.4,37.8,47.394,2225.8,3025.6,45.67,658.7,2.321,3030.1,47.395
842.0,-3.775,0.2,38.0,43.624,2226.0,2964.7,41.95,658.7,2.321,2985.8,43.62
837.0,-3.339,0.3,38.2,40.28,2226.3,2884.9,38.68,658.7,2.321,2875.6,40.281
